Street Name,Ward Name,Postcode,Switch Regime,Wattage,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Organisation URI,Last Uploaded
YORK RISE,HIGHGATE,NW5,35/18,90,528820,185997,-0.143128,51.558157,Plotted By Council Officer,"(51.558157, -0.143128)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
BEDFORD SQUARE,BLOOMSBURY,WC1,70/35,100,529891,181662,-0.129286,51.518954,Plotted By Council Officer,"(51.518954, -0.129286)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
WEST END LANE,WEST HAMPSTEAD,NW6,35/18,90,525454,184025,-0.19236,51.541192,Plotted By Council Officer,"(51.541192, -0.19236)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
GAISFORD STREET,CANTELOWES,NW5,35/18,90,529017,184866,-0.140702,51.547948,Plotted By Council Officer,"(51.547948, -0.140702)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
WEEDINGTON ROAD,GOSPEL OAK,NW5,35/18,60,528253,185220,-0.151586,51.551303,Plotted By Council Officer,"(51.551303, -0.151586)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
LISSENDEN GARDENS,HIGHGATE,NW5,35/18,60,528333,185892,-0.150187,51.557324,Plotted By Council Officer,"(51.557324, -0.150187)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
EVERSHOLT STREET,ST PANCRAS AND SOMERS TOWN,NW1,35/18,140,529323,183197,-0.136905,51.532879,Plotted By Council Officer,"(51.532879, -0.136905)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
GRANARY STREET,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529761,183634,-0.130432,51.536706,Plotted By Council Officer,"(51.536706, -0.130432)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
HAMPSTEAD SQUARE,HAMPSTEAD TOWN,NW3,70/35,125,526440,186109,-0.177401,51.559701,Plotted By Council Officer,"(51.559701, -0.177401)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
GUILFORD STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,140,530270,182070,-0.123676,51.522533,Plotted By Council Officer,"(51.522533, -0.123676)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
ROBIN GROVE,HIGHGATE,N6,35/18,90,528165,186877,-0.152251,51.566214,Plotted By Council Officer,"(51.566214, -0.152251)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
BAYHAM STREET,CAMDEN TOWN,NW1,35/18,90,529249,183474,-0.137869,51.535385,Plotted By Council Officer,"(51.535385, -0.137869)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
LOWER TERRACE,HAMPSTEAD TOWN,NW3,35/18,100,526247,186222,-0.180143,51.56076,Plotted By Council Officer,"(51.56076, -0.180143)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
CLERKENWELL ROAD,HOLBORN AND COVENT GARDEN,EC1,35/18,90,531159,182042,-0.11088,51.522076,Plotted By Council Officer,"(51.522076, -0.11088)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
JUDD STREET,KING'S CROSS,WC1,35/18,90,530226,182531,-0.124139,51.526686,Plotted By Council Officer,"(51.526686, -0.124139)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
GREVILLE ROAD,KILBURN,NW6,70/35,50,525558,183466,-0.19106,51.536145,Plotted By Council Officer,"(51.536145, -0.19106)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
NARCISSUS ROAD,WEST HAMPSTEAD,NW6,35/18,61,525190,185078,-0.19579,51.550714,Plotted By Council Officer,"(51.550714, -0.19579)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
FLEET ROAD,GOSPEL OAK,NW3,35/18,65,527322,185506,-0.164903,51.554084,Plotted By Council Officer,"(51.554084, -0.164903)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
FELLOWS ROAD,BELSIZE,NW3,35/18,60,527483,184455,-0.162962,51.544603,Plotted By Council Officer,"(51.544603, -0.162962)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
GRAFTON ROAD,GOSPEL OAK,NW5,35/18,90,528345,185264,-0.150243,51.551678,Plotted By Council Officer,"(51.551678, -0.150243)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
MIDLAND ROAD,ST PANCRAS AND SOMERS TOWN,NW1,35/18,150,529903,183250,-0.128528,51.533222,Plotted By Council Officer,"(51.533222, -0.128528)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
LANGLAND GARDENS,FROGNAL AND FITZJOHNS,NW3,35/18,60,525952,185334,-0.184714,51.552846,Plotted By Council Officer,"(51.552846, -0.184714)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
BELSIZE LANE,FROGNAL AND FITZJOHNS,NW3,35/18,60,526982,185059,-0.169965,51.550144,Plotted By Council Officer,"(51.550144, -0.169965)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
