Street Name,Ward Name,Postcode,Switch Regime,Wattage,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Organisation URI,Last Uploaded
WEST END LANE,WEST HAMPSTEAD,NW6,35/18,60,525381,183708,-0.193525,51.53836,Plotted By Council Officer,"(51.53836, -0.193525)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
HAMPSTEAD GREEN,HAMPSTEAD TOWN,NW3,35/18,45,527155,185446,-0.167332,51.553583,Plotted By Council Officer,"(51.553583, -0.167332)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
FITZJOHN'S AVENUE,FROGNAL AND FITZJOHNS,NW3,35/18,140,526570,184895,-0.175963,51.548762,Plotted By Council Officer,"(51.548762, -0.175963)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
ST CROSS STREET,HOLBORN AND COVENT GARDEN,EC1,35/18,60,531437,181931,-0.106916,51.521014,Plotted By Council Officer,"(51.521014, -0.106916)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
ALBANY STREET,REGENT'S PARK,NW1,35/18,140,528845,182314,-0.144115,51.525053,Plotted By Council Officer,"(51.525053, -0.144115)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
MENELIK ROAD,FORTUNE GREEN,NW2,35/18,61,524363,185489,-0.207567,51.554591,Plotted By Council Officer,"(51.554591, -0.207567)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
KING HENRY'S ROAD,SWISS COTTAGE,NW3,35/18,90,527863,184229,-0.157567,51.542486,Plotted By Council Officer,"(51.542486, -0.157567)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
FROGNAL,FROGNAL AND FITZJOHNS,NW3,35/18,60,526128,185845,-0.181994,51.557399,Plotted By Council Officer,"(51.557399, -0.181994)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
MILLFIELD LANE,HIGHGATE,N6,35/18,60,527849,186827,-0.156825,51.565837,Plotted By Council Officer,"(51.565837, -0.156825)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
ABBEY ROAD,WEST HAMPSTEAD,NW8,70/35,65,525694,183960,-0.188924,51.540555,Plotted By Council Officer,"(51.540555, -0.188924)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
KENTISH TOWN ROAD,CAMDEN TOWN,NW5,35/18,90,528952,184369,-0.141821,51.543496,Plotted By Council Officer,"(51.543496, -0.141821)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
ORDE HALL STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530577,181997,-0.11928,51.521806,Plotted By Council Officer,"(51.521806, -0.11928)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
AVENUE ROAD,SWISS COTTAGE,NW8,35/18,90,526928,183866,-0.171174,51.539434,Plotted By Council Officer,"(51.539434, -0.171174)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
POND STREET,HAMPSTEAD TOWN,NW3,35/18,90,527144,185467,-0.167483,51.553774,Plotted By Council Officer,"(51.553774, -0.167483)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
ST ANNE'S CLOSE,HIGHGATE,N6,35/18,45,528286,186456,-0.150659,51.562403,Plotted By Council Officer,"(51.562403, -0.150659)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
GLENMORE ROAD,BELSIZE,NW3,35/18,60,527204,184864,-0.166836,51.548341,Plotted By Council Officer,"(51.548341, -0.166836)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
TOTTENHAM STREET,BLOOMSBURY,W1,35/18,90,529384,181769,-0.13655,51.520032,Plotted By Council Officer,"(51.520032, -0.13655)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
AVENUE ROAD,SWISS COTTAGE,NW8,35/18,90,527018,183788,-0.169905,51.538713,Plotted By Council Officer,"(51.538713, -0.169905)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
REDINGTON ROAD,FROGNAL AND FITZJOHNS,NW3,35/18,60,525628,186182,-0.189082,51.560539,Plotted By Council Officer,"(51.560539, -0.189082)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
WEEDINGTON ROAD,GOSPEL OAK,NW5,35/18,60,528232,185245,-0.151879,51.551533,Plotted By Council Officer,"(51.551533, -0.151879)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
GREAT ORMOND STREET,HOLBORN AND COVENT GARDEN,WC1,70/35,100,530474,181988,-0.120767,51.521749,Plotted By Council Officer,"(51.521749, -0.120767)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
BEDFORD PLACE,BLOOMSBURY,WC1,35/18,60,530249,181781,-0.124085,51.519941,Plotted By Council Officer,"(51.519941, -0.124085)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
STAR YARD,HOLBORN AND COVENT GARDEN,WC1,70/35,45,531076,181287,-0.112356,51.51531,Plotted By Council Officer,"(51.51531, -0.112356)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
GREVILLE STREET,HOLBORN AND COVENT GARDEN,EC1,70/35,100,531386,181749,-0.107719,51.51939,Plotted By Council Officer,"(51.51939, -0.107719)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
LEATHER LANE,HOLBORN AND COVENT GARDEN,EC1,35/18,60,531274,181808,-0.10931,51.519947,Plotted By Council Officer,"(51.519947, -0.10931)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
CHURCHWAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,60,529780,182768,-0.130478,51.528919,Plotted By Council Officer,"(51.528919, -0.130478)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
CANTELOWES ROAD,CANTELOWES,NW1,35/18,90,529916,184468,-0.127891,51.544165,Plotted By Council Officer,"(51.544165, -0.127891)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
CANFIELD PLACE,SWISS COTTAGE,NW6,35/18,50,526143,184713,-0.182183,51.547222,Plotted By Council Officer,"(51.547222, -0.182183)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
KELLY STREET,KENTISH TOWN,NW1,35/18,60,528812,184668,-0.14373,51.546215,Plotted By Council Officer,"(51.546215, -0.14373)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
CROFTWAY,FROGNAL AND FITZJOHNS,NW3,35/18,100,525456,185849,-0.191681,51.557584,Plotted By Council Officer,"(51.557584, -0.191681)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
REDINGTON ROAD,FROGNAL AND FITZJOHNS,NW3,35/18,60,525740,186372,-0.1874,51.562221,Plotted By Council Officer,"(51.562221, -0.1874)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
GREAT ORMOND STREET,HOLBORN AND COVENT GARDEN,WC1,70/35,100,530429,181951,-0.121429,51.521427,Plotted By Council Officer,"(51.521427, -0.121429)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
CARTWRIGHT GARDENS,KING'S CROSS,WC1,35/18,90,529991,182582,-0.127506,51.527199,Plotted By Council Officer,"(51.527199, -0.127506)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
BEDFORD AVENUE,BLOOMSBURY,WC1,35/18,60,529949,181609,-0.12847,51.518464,Plotted By Council Officer,"(51.518464, -0.12847)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
FROGNAL GARDENS,FROGNAL AND FITZJOHNS,NW3,70/35,125,526176,185720,-0.181347,51.556265,Plotted By Council Officer,"(51.556265, -0.181347)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
HARRISON STREET,KING'S CROSS,WC1,35/18,60,530384,182614,-0.121832,51.527396,Plotted By Council Officer,"(51.527396, -0.121832)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
PANDORA ROAD,WEST HAMPSTEAD,NW6,35/18,60,525189,184930,-0.195857,51.549384,Plotted By Council Officer,"(51.549384, -0.195857)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
ALBANY STREET,REGENT'S PARK,NW1,35/18,140,528823,182808,-0.144251,51.529497,Plotted By Council Officer,"(51.529497, -0.144251)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
WILLOUGHBY STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530045,181541,-0.127112,51.517831,Plotted By Council Officer,"(51.517831, -0.127112)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
COLLEGE CRESCENT,FROGNAL AND FITZJOHNS,NW3,35/18,96,526517,184565,-0.176846,51.545808,Plotted By Council Officer,"(51.545808, -0.176846)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
HAMPSTEAD HILL GARDENS,HAMPSTEAD TOWN,NW3,35/18,60,526987,185583,-0.169704,51.554852,Plotted By Council Officer,"(51.554852, -0.169704)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
GORDON SQUARE,BLOOMSBURY,WC1,35/18,90,529710,182266,-0.131671,51.524423,Plotted By Council Officer,"(51.524423, -0.131671)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
ELDON GROVE,HAMPSTEAD TOWN,NW3,35/18,60,526864,185409,-0.17154,51.553315,Plotted By Council Officer,"(51.553315, -0.17154)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
FELLOWS ROAD,BELSIZE,NW3,35/18,60,527663,184480,-0.160359,51.544787,Plotted By Council Officer,"(51.544787, -0.160359)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
GREVILLE ROAD,KILBURN,NW6,70/35,50,525737,183494,-0.188471,51.536357,Plotted By Council Officer,"(51.536357, -0.188471)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
EVERSHOLT STREET,ST PANCRAS AND SOMERS TOWN,NW1,35/18,140,529640,182751,-0.132501,51.528798,Plotted By Council Officer,"(51.528798, -0.132501)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
NETHERWOOD STREET,KILBURN,NW6,35/18,90,525161,184542,-0.196399,51.545904,Plotted By Council Officer,"(51.545904, -0.196399)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
PRIMROSE HILL ROAD,REGENT'S PARK,NW3,35/18,90,527684,183988,-0.160235,51.54036,Plotted By Council Officer,"(51.54036, -0.160235)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
STANHOPE STREET,REGENT'S PARK,NW1,35/18,90,529069,182540,-0.140805,51.527033,Plotted By Council Officer,"(51.527033, -0.140805)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
BEDFORD SQUARE,BLOOMSBURY,WC1,70/35,150,529818,181600,-0.13036,51.518413,Plotted By Council Officer,"(51.518413, -0.13036)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
BISHAM GARDENS,HIGHGATE,N6,35/18,45,528561,187345,-0.146369,51.57033,Plotted By Council Officer,"(51.57033, -0.146369)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
WARWICK COURT,HOLBORN AND COVENT GARDEN,WC1,70/35,70,530934,181678,-0.114256,51.518857,Plotted By Council Officer,"(51.518857, -0.114256)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
FERDINAND STREET,HAVERSTOCK,NW1,35/18,90,528453,184346,-0.149021,51.543403,Plotted By Council Officer,"(51.543403, -0.149021)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
CANFIELD GARDENS,SWISS COTTAGE,NW6,35/18,54,526194,184575,-0.181498,51.54597,Plotted By Council Officer,"(51.54597, -0.181498)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
YORK WAY,ST PANCRAS AND SOMERS TOWN,N1,35/18,140,530280,183830,-0.122881,51.538348,Plotted By Council Officer,"(51.538348, -0.122881)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
MILLFIELD LANE,HIGHGATE,N6,35/18,60,528139,186549,-0.152745,51.563273,Plotted By Council Officer,"(51.563273, -0.152745)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
CLARENCE WAY,CAMDEN TOWN,NW1,35/18,60,528591,184408,-0.14701,51.543929,Plotted By Council Officer,"(51.543929, -0.14701)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
CHALCOT SQUARE,CAMDEN TOWN,NW1,35/18,60,527998,184054,-0.155685,51.540882,Plotted By Council Officer,"(51.540882, -0.155685)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
FITZJOHN'S AVENUE,FROGNAL AND FITZJOHNS,NW3,35/18,140,526575,184759,-0.17594,51.547539,Plotted By Council Officer,"(51.547539, -0.17594)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
PRINCE ALBERT ROAD,REGENT'S PARK,"NW1, NW8",35/18,104,528622,183552,-0.146876,51.536229,Plotted By Council Officer,"(51.536229, -0.146876)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
CASTLE ROAD,KENTISH TOWN,NW5,35/18,95,528776,184555,-0.14429,51.545208,Plotted By Council Officer,"(51.545208, -0.14429)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
ADELAIDE ROAD,HAVERSTOCK,NW3,35/18,90,528066,184387,-0.154584,51.54386,Plotted By Council Officer,"(51.54386, -0.154584)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
ST CUTHBERT'S ROAD,FORTUNE GREEN,NW6,35/18,60,524608,184893,-0.204245,51.54918,Plotted By Council Officer,"(51.54918, -0.204245)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
BELSIZE GROVE,BELSIZE,NW3,35/18,61,527358,184830,-0.164628,51.548001,Plotted By Council Officer,"(51.548001, -0.164628)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
BELSIZE AVENUE,BELSIZE,NW3,35/18,90,527123,185102,-0.167917,51.550498,Plotted By Council Officer,"(51.550498, -0.167917)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
BUCKNALL STREET,HOLBORN AND COVENT GARDEN,WC2,35/18,61,530032,181401,-0.127351,51.516576,Plotted By Council Officer,"(51.516576, -0.127351)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
MALDEN ROAD,HAVERSTOCK,NW5,35/18,90,528196,184917,-0.152518,51.548593,Plotted By Council Officer,"(51.548593, -0.152518)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
HOLMDALE ROAD,WEST HAMPSTEAD,NW6,35/18,61,525227,185169,-0.195224,51.551524,Plotted By Council Officer,"(51.551524, -0.195224)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
MAKEPEACE AVENUE,HIGHGATE,N6,35/18,90,528552,186760,-0.146713,51.565075,Plotted By Council Officer,"(51.565075, -0.146713)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
BRUNSWICK SQUARE,KING'S CROSS,WC1,35/18,90,530331,182295,-0.122714,51.524541,Plotted By Council Officer,"(51.524541, -0.122714)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
PLATT'S LANE,FROGNAL AND FITZJOHNS,NW3,35/18,90,525271,186021,-0.194287,51.559171,Plotted By Council Officer,"(51.559171, -0.194287)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
PARKHILL ROAD,HAVERSTOCK,NW3,35/18,90,527746,185149,-0.15892,51.55078,Plotted By Council Officer,"(51.55078, -0.15892)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
GRAFTON WAY,BLOOMSBURY,"W1, WC1",35/18,140,529266,182128,-0.138118,51.523285,Plotted By Council Officer,"(51.523285, -0.138118)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
BELSIZE CRESCENT,FROGNAL AND FITZJOHNS,NW3,70/35,45,526842,184964,-0.172018,51.549321,Plotted By Council Officer,"(51.549321, -0.172018)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
HAVERSTOCK HILL,HAVERSTOCK,NW3,35/18,90,527211,185223,-0.166605,51.551566,Plotted By Council Officer,"(51.551566, -0.166605)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
OSSULSTON STREET,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529762,183085,-0.13062,51.531772,Plotted By Council Officer,"(51.531772, -0.13062)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
CHURCHWAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529807,182675,-0.130123,51.528077,Plotted By Council Officer,"(51.528077, -0.130123)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
LAWFORD ROAD,CANTELOWES,NW5,35/18,90,529072,184717,-0.139964,51.546596,Plotted By Council Officer,"(51.546596, -0.139964)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
OAKLEY SQUARE,REGENT'S PARK,NW1,35/18,60,529333,183297,-0.136724,51.533775,Plotted By Council Officer,"(51.533775, -0.136724)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
ROSSLYN HILL,HAMPSTEAD TOWN,NW3,35/18,90,526802,185567,-0.172377,51.554749,Plotted By Council Officer,"(51.554749, -0.172377)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
SOUTH HILL PARK,HAMPSTEAD TOWN,NW3,35/18,60,527364,186009,-0.164115,51.558595,Plotted By Council Officer,"(51.558595, -0.164115)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
BRACKNELL WAY,FROGNAL AND FITZJOHNS,NW3,35/18,21,525576,185598,-0.190041,51.555302,Plotted By Council Officer,"(51.555302, -0.190041)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
HARBEN ROAD,SWISS COTTAGE,NW6,70/35,50,526449,184387,-0.17789,51.544224,Plotted By Council Officer,"(51.544224, -0.17789)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
GREVILLE ROAD,KILBURN,NW6,70/35,50,525829,183470,-0.187154,51.536121,Plotted By Council Officer,"(51.536121, -0.187154)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
MALET STREET,BLOOMSBURY,WC1,35/18,90,529820,181918,-0.130214,51.521271,Plotted By Council Officer,"(51.521271, -0.130214)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
HEATH DRIVE,FROGNAL AND FITZJOHNS,NW3,35/18,60,525630,185824,-0.189181,51.557321,Plotted By Council Officer,"(51.557321, -0.189181)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
PLENDER STREET,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529411,183677,-0.13546,51.537172,Plotted By Council Officer,"(51.537172, -0.13546)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
WHITFIELD STREET,BLOOMSBURY,W1,35/18,90,529197,182215,-0.13908,51.524083,Plotted By Council Officer,"(51.524083, -0.13908)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
HIGHGATE WEST HILL,HIGHGATE,N6,35/18,90,528106,186738,-0.153152,51.564979,Plotted By Council Officer,"(51.564979, -0.153152)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
THEOBALD'S ROAD,HOLBORN AND COVENT GARDEN,WC1,35/18,90,530870,181928,-0.115085,51.521119,Plotted By Council Officer,"(51.521119, -0.115085)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
WILMOT PLACE,CANTELOWES,NW1,35/18,50,529158,184400,-0.138841,51.543728,Plotted By Council Officer,"(51.543728, -0.138841)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
REDINGTON ROAD,FROGNAL AND FITZJOHNS,NW3,35/18,60,525667,185975,-0.188594,51.55867,Plotted By Council Officer,"(51.55867, -0.188594)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
FROGNAL,FROGNAL AND FITZJOHNS,NW3,35/18,60,526086,185735,-0.182639,51.556419,Plotted By Council Officer,"(51.556419, -0.182639)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
FAIRFAX ROAD,SWISS COTTAGE,NW6,35/18,96,526329,184161,-0.1797,51.54222,Plotted By Council Officer,"(51.54222, -0.1797)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
MANSTONE ROAD,FORTUNE GREEN,NW2,35/18,60,524267,185309,-0.209014,51.552994,Plotted By Council Officer,"(51.552994, -0.209014)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
SOUTH END ROAD,HAMPSTEAD TOWN,NW3,35/18,90,527201,185711,-0.166573,51.555954,Plotted By Council Officer,"(51.555954, -0.166573)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
PLATT'S LANE,FROGNAL AND FITZJOHNS,NW3,35/18,90,525292,186178,-0.193929,51.560578,Plotted By Council Officer,"(51.560578, -0.193929)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
PRINCESS MEWS,FROGNAL AND FITZJOHNS,NW3,70/35,70,526858,185000,-0.171774,51.549641,Plotted By Council Officer,"(51.549641, -0.171774)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
KINGDON ROAD,WEST HAMPSTEAD,NW6,35/18,61,525344,184897,-0.193635,51.549053,Plotted By Council Officer,"(51.549053, -0.193635)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
NEWTON STREET,HOLBORN AND COVENT GARDEN,WC2,35/18,61,530424,181458,-0.121684,51.516998,Plotted By Council Officer,"(51.516998, -0.121684)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:25 PM
ELM STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530978,182131,-0.113454,51.522918,Plotted By Council Officer,"(51.522918, -0.113454)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
WINDMILL HILL,HAMPSTEAD TOWN,NW3,35/18,100,526218,185997,-0.180642,51.558745,Plotted By Council Officer,"(51.558745, -0.180642)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
LAWN ROAD,GOSPEL OAK,NW3,35/18,60,527533,185381,-0.161906,51.552913,Plotted By Council Officer,"(51.552913, -0.161906)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
FELLOWS ROAD,BELSIZE,NW3,35/18,60,527388,184422,-0.164343,51.544327,Plotted By Council Officer,"(51.544327, -0.164343)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
MARY TERRACE,REGENT'S PARK,NW1,35/18,21,529033,183606,-0.140933,51.536621,Plotted By Council Officer,"(51.536621, -0.140933)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
BELSIZE ROAD,KILBURN,NW3,35/18,90,526235,184066,-0.181089,51.541387,Plotted By Council Officer,"(51.541387, -0.181089)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
LEITH YARD,KILBURN,NW6,35/18,30,525261,183892,-0.195189,51.54004,Plotted By Council Officer,"(51.54004, -0.195189)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
HIGHGATE WEST HILL,HIGHGATE,N6,35/18,90,528100,186785,-0.153221,51.565402,Plotted By Council Officer,"(51.565402, -0.153221)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
PRINCE ALBERT ROAD,REGENT'S PARK,"NW1, NW8",35/18,104,528288,183692,-0.151638,51.537563,Plotted By Council Officer,"(51.537563, -0.151638)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
MELTON STREET,REGENT'S PARK,NW1,35/18,140,529503,182588,-0.134535,51.527365,Plotted By Council Officer,"(51.527365, -0.134535)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
BARTHOLOMEW ROAD,CANTELOWES,NW5,35/18,90,529198,184639,-0.138177,51.545867,Plotted By Council Officer,"(51.545867, -0.138177)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
WILLES ROAD,KENTISH TOWN,NW5,35/18,90,528794,184817,-0.143935,51.547559,Plotted By Council Officer,"(51.547559, -0.143935)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
CHARLOTTE STREET,BLOOMSBURY,W1,35/18,90,529339,181864,-0.137163,51.520896,Plotted By Council Officer,"(51.520896, -0.137163)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
BARKER DRIVE,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529603,184052,-0.132555,51.540499,Plotted By Council Officer,"(51.540499, -0.132555)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
SMART'S PLACE,HOLBORN AND COVENT GARDEN,WC2,35/18,21,530315,181405,-0.123273,51.516547,Plotted By Council Officer,"(51.516547, -0.123273)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:25 PM
DELANCEY STREET,CAMDEN TOWN,NW1,35/18,150,528943,183624,-0.142224,51.536803,Plotted By Council Officer,"(51.536803, -0.142224)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
CARLINGFORD ROAD,HAMPSTEAD TOWN,NW3,35/18,60,526844,185731,-0.171712,51.556214,Plotted By Council Officer,"(51.556214, -0.171712)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
HEATH DRIVE,FROGNAL AND FITZJOHNS,NW3,35/18,60,525562,185732,-0.190195,51.556509,Plotted By Council Officer,"(51.556509, -0.190195)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
FARRIER STREET,CANTELOWES,"NW1, NW5",35/18,60,528991,184392,-0.141251,51.543694,Plotted By Council Officer,"(51.543694, -0.141251)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
CHALK FARM ROAD,CAMDEN TOWN,NW1,70/35,90,528305,184345,-0.151155,51.543428,Plotted By Council Officer,"(51.543428, -0.151155)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
